### 基本的な同時打ち
kq ふぁ
kw ご
ke ふ
kr ふぃ
kt ふぇ
lq ぢ
lw め
le け
lr てぃ
lt でぃ
ka ほ
ks じ
kd れ
kf も
kg ゆ
la を
ls さ
ld お
lf り
lg ず
kz づ
kx ぞ
kc ぼ
kv む
kb ふぉ
lz ぜ
lx ざ
lc ぎ
lv ろ
lb ぬ
dy うぃ
du ぱ
di よ
do み
dp うぇ
sy しぇ
su ぺ
si ど
so や
sp じぇ
dh へ
dj あ
dk れ
dl お
d; え
sh び
sj ら
sk じ
sl さ
s; そ
dn せ
dm ね
d, べ
d. ぷ
d/ ゔ
sn わ
sm だ
s, ぴ
s. ぽ
s/ ちぇ
### 拗音
iq ひゅ
iw しゅ
ie しょ
ir きゅ
it ちゅ
ia ひょ
if きょ
ig ちょ
iz ひゃ
ic しゃ
iv きゃ
ib ちゃ
oq りゅ
ow じゅ
oe じょ
or ぎゅ
ot にゅ
oa りょ
of ぎょ
og にょ
oz りゃ
oc じゃ
ov ぎゃ
ob にゃ
### 上段打ち
k1 ぁ
k2 ぃ
k3 ぅ
k4 ぇ
k5 ぉ
l1 ゃ
l2 みゃ
l3 みゅ
l4 みょ
l5 ゎ
i1 ゅ
i2 びゃ
i3 びゅ
i4 びょ
o1 ょ
o2 ぴゃ
o3 ぴゅ
o4 ぴょ
### ANSI US 独自コンボ
s7 でゅ
s8 ゔぁ
op げ
ip うぉ
s9 (
s0 )
d7 &
d8 *
d9 「
d0 」
###  同手同時押し
rf ・
rg ・
hu /
fg 「」
hj （）
fv !
fb !
nj ?
#### Google IME に元々あったエントリーの流用
z. …
jz ↓
hz ←
zm →
zn ↑
z[ 『
z] 』
### 以下のエントリーはなくても (ない方が?) 良いかも知れない
z/ ・
